Det File Crosshead Load1 Load2 sampX sampY I0 Trans  dH1 ddH1 dV1 ddV1 dXY1 ddXY1 PeakInt1 mFWHM1 dHplus1 dHminus1  dH2 ddH2 dV2 ddV2 dXY2 ddXY2 PeakInt2 mFWHM2 dHplus2 dHminus2  dH3 ddH3 dV3 ddV3 dXY3 ddXY3 PeakInt3 mFWHM3 dHplus3 dHminus3  dH4 ddH4 dV4 ddV4 dXY4 ddXY4 PeakInt4 mFWHM4 dHplus4 dHminus4 dH5 ddH5 dV5 ddV5 dXY5 ddXY5 PeakInt5 mFWHM5 dHplus5 dHminus5 
5 5670 -25.628800 1784.500000 1699.190000 4.300000 -0.039996 3.211189e+08 0.256533 1.994014 0.000110 1.995407 0.000213 1.994701 0.000099 1328.703920 2.993807 1.986385 2.001702 1.410374 0.000033 1.411438 0.000177 1.410946 0.000057 246.447844 3.254640 1.406721 1.414046 0.997710 0.000037 0.997894 0.000132 0.997884 0.000044 105.529513 4.061333 0.995502 0.999929 0.892397 0.000041 0.892837 0.000107 0.892717 0.000054 115.623925 4.659655 0.890492 0.894309 0.814566 0.000037 0.815167 0.000081 0.814855 0.000042 27.499474 4.569589 0.812886 0.816254
5 5671 -25.628600 1784.230000 1697.130000 4.320000 -0.039996 3.206993e+08 0.256694 1.994009 0.000109 1.995417 0.000138 1.994707 0.000094 1356.601703 2.986207 1.986382 2.001696 1.410328 0.000035 1.411491 0.000144 1.410990 0.000051 246.430223 3.298430 1.406675 1.414000 0.997685 0.000033 0.997942 0.000097 0.997870 0.000046 105.929624 4.060990 0.995460 0.999920 0.892402 0.000050 0.892842 0.000109 0.892690 0.000053 115.908721 4.627154 0.890510 0.894302 0.814533 0.000034 0.815147 0.000083 0.814856 0.000047 28.402907 4.634502 0.812850 0.816224
5 5672 -25.628700 1784.160000 1697.490000 4.340000 -0.039996 3.218182e+08 0.256207 1.993850 0.000110 1.995349 0.000142 1.994649 0.000097 1389.210478 2.983726 1.986196 2.001563 1.410366 0.000035 1.411495 0.000159 1.410986 0.000043 247.271183 3.259617 1.406698 1.414053 0.997607 0.000033 0.997962 0.000109 0.997894 0.000045 108.766232 4.078482 0.995420 0.999804 0.892409 0.000080 0.892833 0.000118 0.892647 0.000051 116.006048 4.635577 0.890551 0.894275 0.814520 0.000033 0.815137 0.000072 0.814821 0.000047 28.426200 4.631698 0.812841 0.816207
5 5673 -25.628600 1784.400000 1698.100000 4.360000 -0.039996 3.227972e+08 0.255315 1.993887 0.000108 1.995321 0.000157 1.994610 0.000089 1379.823387 2.992993 1.986239 2.001594 1.410308 0.000038 1.411580 0.000152 1.410947 0.000045 245.728641 3.256366 1.406621 1.414014 0.997629 0.000035 0.998013 0.000134 0.997882 0.000044 109.014223 4.084949 0.995407 0.999862 0.892391 0.000081 0.892766 0.000124 0.892651 0.000044 115.315325 4.651426 0.890525 0.894265 0.814545 0.000038 0.815007 0.000095 0.814809 0.000044 27.643207 4.690552 0.812864 0.816233
5 5674 -25.628900 1784.170000 1697.740000 4.380000 -0.039996 3.227972e+08 0.255199 1.993914 0.000104 1.995301 0.000155 1.994575 0.000098 1352.080243 2.989901 1.986301 2.001587 1.410345 0.000033 1.411373 0.000152 1.410914 0.000042 252.230627 3.306080 1.406664 1.414047 0.997599 0.000035 0.998030 0.000140 0.997870 0.000039 105.667777 4.044650 0.995324 0.999886 0.892406 0.000080 0.892763 0.000128 0.892663 0.000037 118.163649 4.612698 0.890528 0.894291 0.814477 0.000032 0.814991 0.000118 0.814795 0.000038 27.492804 4.665888 0.812797 0.816164
5 5675 -25.628600 1783.710000 1698.290000 4.400000 -0.039996 3.225175e+08 0.255421 1.993867 0.000112 1.995268 0.000230 1.994480 0.000087 1345.502635 2.985309 1.986217 2.001576 1.410437 0.000032 1.411366 0.000151 1.410962 0.000040 254.603983 3.326079 1.406735 1.414159 0.997613 0.000040 0.997885 0.000162 0.997782 0.000036 105.274281 4.084649 0.995316 0.999921 0.892418 0.000089 0.892752 0.000136 0.892660 0.000030 118.316959 4.602348 0.890561 0.894284 0.814499 0.000028 0.814974 0.000093 0.814810 0.000039 27.893057 4.576085 0.812838 0.816168
5 5676 -25.628800 1784.410000 1697.430000 4.420000 -0.039996 3.233566e+08 0.255709 1.993912 0.000107 1.994979 0.000181 1.994259 0.000082 1360.926882 2.979947 1.986273 2.001611 1.410479 0.000031 1.411365 0.000163 1.410932 0.000039 259.006410 3.264165 1.406738 1.414240 0.997658 0.000038 0.997673 0.000132 0.997698 0.000033 104.266195 4.055730 0.995347 0.999981 0.892403 0.000078 0.892713 0.000122 0.892662 0.000032 117.510688 4.635258 0.890530 0.894285 0.814503 0.000035 0.815020 0.000070 0.814841 0.000037 28.128258 4.573985 0.812824 0.816189
5 5677 -25.628600 1784.920000 1696.420000 4.440000 -0.039996 3.230769e+08 0.256162 1.993786 0.000107 1.995043 0.000167 1.994180 0.000091 1339.734033 2.978405 1.986173 2.001458 1.410446 0.000031 1.411093 0.000145 1.410950 0.000046 260.805045 3.297182 1.406707 1.414206 0.997619 0.000042 0.997694 0.000127 0.997697 0.000038 104.061281 4.062342 0.995256 0.999994 0.892392 0.000080 0.892682 0.000118 0.892649 0.000033 118.864882 4.625694 0.890486 0.894306 0.814502 0.000036 0.815032 0.000074 0.814827 0.000038 27.411081 4.566391 0.812767 0.816244
5 5678 -25.628600 1784.650000 1697.460000 4.460000 -0.039996 3.232168e+08 0.256397 1.993672 0.000106 1.995192 0.000204 1.994229 0.000091 1327.310311 2.960486 1.986096 2.001306 1.410421 0.000032 1.411063 0.000130 1.410799 0.000048 258.966666 3.269463 1.406699 1.414164 0.997563 0.000042 0.997783 0.000133 0.997688 0.000035 102.245400 4.024157 0.995209 0.999928 0.892413 0.000091 0.892694 0.000104 0.892618 0.000038 117.620554 4.559579 0.890514 0.894321 0.814468 0.000043 0.814909 0.000063 0.814834 0.000031 28.921320 4.512565 0.812731 0.816213
5 5679 -25.628700 1784.370000 1697.210000 4.480000 -0.039996 3.225175e+08 0.257040 1.993751 0.000105 1.995062 0.000186 1.994317 0.000097 1341.772700 2.973150 1.986140 2.001421 1.410393 0.000035 1.411344 0.000123 1.410801 0.000042 263.727984 3.278047 1.406614 1.414194 0.997598 0.000042 0.997778 0.000111 0.997804 0.000040 108.852458 3.965413 0.995264 0.999943 0.892460 0.000085 0.892641 0.000103 0.892576 0.000034 116.820553 4.562635 0.890572 0.894355 0.814471 0.000040 0.814878 0.000052 0.814700 0.000031 28.335761 4.491732 0.812744 0.816205
